region,assets_18,assets_17,bank_capital_18,bank_capital_17,net_income_18,net_income_17,credit_portfolio_18,credit_portfolio_17,ranking_multi
0,37904424.0,34179321.0,6014119.0,5439649.0,983644.0,778735.0,12829735.0,12934280.0,1
1,99488749.0,80088264.0,10568070.0,11402161.0,463012.0,784491.0,31332359.0,30641429.0,1
1,10774305.0,20273620.0,4795190.0,5235737.0,34949.0,1158193.0,295685.0,384715.0,0
1,17300319.0,14873653.0,3208172.0,2679951.0,670751.0,146064.0,7869500.0,5407697.0,1
0,104871389.0,121420039.0,21176310.0,15294083.0,1227498.0,-139756.0,48949139.0,73558894.0,1
1,6384379.0,7056398.0,1438553.0,1583247.0,65921.0,257018.0,5640143.0,5339451.0,0
1,30937100.0,21786033.0,3450509.0,3525817.0,283846.0,636560.0,8967859.0,8563129.0,1
1,124756774.0,108061522.0,10119132.0,7936083.0,1179271.0,1046082.0,26993279.0,25769524.0,2
1,2101087.0,1464781.0,1239287.0,751279.0,126849.0,-14948.0,1024703.0,315889.0,0
1,49302150.0,57002576.0,6837161.0,6860424.0,-2980948.0,-1539565.0,28654332.0,27504446.0,0
0,3401650.0,2836315.0,1085562.0,665503.0,30891.0,43121.0,2087139.0,1945696.0,1
1,1640451.0,1931398.0,531608.0,531843.0,10908.0,31308.0,266574.0,380532.0,0
0,38957968.0,37615473.0,3980239.0,4072702.0,1164318.0,973574.0,22806375.0,25756142.0,1
1,2114711.0,2612696.0,884632.0,810215.0,-98447.0,-242269.0,1148064.0,1297981.0,0
0,52787639.0,49906931.0,8613200.0,8234870.0,742602.0,872540.0,28796739.0,27419205.0,2
0,8530715.0,7557843.0,1177145.0,1159745.0,76796.0,76709.0,5020307.0,4416878.0,1
1,2110022181.0,1884617801.0,260713491.0,246001301.0,4909905.0,6861264.0,1668485338.0,1524378780.0,2
1,95877364.0,71407750.0,12668100.0,10576054.0,997983.0,1230426.0,36283568.0,34200462.0,2
0,6928812.0,6344728.0,1499563.0,1552138.0,-25818.0,13060.0,4394845.0,4138151.0,1
0,7834744.0,7819512.0,1218146.0,1187262.0,118775.0,83107.0,3376665.0,3111909.0,1
1,266073934.0,273085931.0,26364759.0,31480037.0,-8839941.0,-4094353.0,131767343.0,132407746.0,2
0,244543391.0,247416177.0,10666730.0,10062757.0,1168003.0,1675989.0,48753200.0,48968778.0,2
1,48100138.0,45479389.0,6772689.0,5912935.0,217418.0,135866.0,32978595.0,29381776.0,0
1,3816927.0,4099346.0,2073082.0,1471908.0,126186.0,67685.0,2311223.0,2356944.0,0
1,60263798.0,59909901.0,6523816.0,6274909.0,298136.0,304725.0,3477198.0,2887815.0,2
1,5072155.0,4361618.0,1288679.0,1247949.0,9283.0,102322.0,1357226.0,1265001.0,0
0,156200909.0,114300945.0,44090835.0,37786715.0,2592046.0,1878700.0,121069052.0,63448780.0,2
1,4961611.0,5487539.0,1589926.0,1646002.0,-203428.0,-148301.0,2615878.0,3183448.0,0
